Address,latitude,longitude
"Wuse retail outlet, Wuse road, Abuja, FCT",9.0752322,7.4767315
"Summit Road by Havilla Rd junction, Asaba",6.2059295,6.6958939
"54, Ikotun Idimu Road, NNPC Petrol Station Opp Chicken Republic, Ikotun",6.5505616,3.2683888
"105 Benin-Agbor Road, Ikpoba Hill, Benin City, Edo State",6.3471743,5.6743549
"Plot 1504, Cadzone BO6, after Ministry of Transportation, Mabushi, FCT, Abuja",9.0830863,7.4481568
"""Truck Centre, Lagos. Plot C88 Amuwo Odofin Commercial Coker Bus-Stop, Oshodi Apapa Expressway 

""",6.4757044,3.3265932
"Ado-Ekiti/ KM5 Ilawe Road, Near Fresh Water International School, Ado Ekiti",7.6185974,5.2004966
"Mandilas Building, 35 Simpson Street, Lagos Island",6.4532779,3.4023004
"1, Prof Olagoke Olabisi, Off Folashade Awe, Oniru, Lekki",6.4266965,3.4706645
"68A Adeola Odeku St, Victoria Island",6.4262524,3.4235394
"129, Bode Thomas Street, Surulere,",6.4886989,3.3605401
"Truckmasters Close, Opebi",6.5941081,3.3658616
"Plot 18, Muri Folami Street, Ogudu GRA",6.5747896,3.3864296
"KM 15, Ikorodu Road",6.5185168,3.367599
"Plot 4, Muri Folami Street, Ogudu GRA",6.5769434,3.3900504
"Plot A2, Billings Way, Oregun â€“ Ikeja",6.6029482,3.3690637
"307,Akin Adesola Victoria island",6.4307964,3.423898
"43A Akin Adesola Street, Victoria island",6.4314021,3.4236347
"2 Wharf Road, Apapa",6.445092,3.3731852
"19/21 Oregun Road, Olusosun, Ikeja",6.6070693,3.366604
"Plot 3 Billings way, Industrial Estate Road, Oregun, Ikeja",6.6030547,3.3692734
"35C Adetokunbo Ademola Street, Victoria Island",6.4299742,3.4302141
"Plot 21 Admiralty Way, Lekki Phase 1,Lagos",6.4480905,3.4742881
"4th Roundabout Lekki -Epe Express-way, Lagoss",6.4359434,3.4466647
Government Technical College Ikotun,6.5529605,3.2687448
"8 Borno Street, Area 10, Garki, Abuja",9.038138,7.4813311
"AB 2, Nnamdi Azikiwe way Express Bye-Pass, Kaduna.",10.5765323,7.4202949
"59, Rasaq Balogun Street Western Avenue, Surulere",6.4929993,3.3616571
"Plot 1209. Cadastral zone B06 Mabushi district, after VIO office Mabushi, Abuja",9.1112394,7.4335455
"Plot 581, Central Business District, Abuja",9.0585927,7.4894131
"Plot 388 Constitution Avenue, Beside Grand Square, Central Business District Abuja",9.0517211,7.478143
"Plot 596 Independence Avenue, Opp Bolingo Hotel, Central Business District, Abuja",9.0439324,7.4785566
"Plot 410 Obafemi Awolowo Way, opposite L.E.A primary School, Airport Junction Jabi.",9.0640929,7.4122072
"Plot 36 CAD Zone B08. after Mabushi Ultra Modern Market Jahi, Abuja",9.1068175,7.4476008
"Plot 466 Amadu Bello Way, after Dominos pizza , Garki 2 Abuja.",9.0294746,7.4924277
"Plot 92 CAD Zone B15, near Mabushi Ultramodern Market, Katampe Rd, Jahi",9.1068175,7.4476008
"28 Katampe road Jahi, Opposite Mabushi Ultra Modern Market Abuja",9.0931849,7.4422447
"1074 Airport road, Opposite Major oil Jabi Abuja",8.9645533,7.3478415
"Plot 92, CAD Zone B15, Behind Mabushi Ultra Modern Market Katampe Road, Jahi",9.1068175,7.4476008
"Plot 28 Katampe Road, After Bon Hotel Jahi",9.0931849,7.4422447
"Plot 916 Abubakar Koko Ave, Opposite Stella Maris School, Life camp",9.0837633,7.3932406
"Plot 1510, Kaura District By ICC/Summit Bible Church, behind Games Village, Abuja",9.0611272,7.4676995
"68 Adetokunbo Ademola Crescent,opposite goodies, Wuse 2 Abuja.",9.0709731,7.4881674
"37 Olorunsogo , Abiola way , Abeokuta,",7.1570518,3.3679448
"Ijokodo Retail Outlet, Poly Road, Ibadan, Oyo State",7.4286841,3.8956893
"Akobo 1 Retail Outlet, Along Ojurin, Akala Estate, Akobo, Ibadan, Oyo State",7.4365064,3.9661577
"Tanke Retail Outlet, Tanke Road, Ilorin, Kwara State",8.4841992,4.6075335
"Yidi Retail Outlet, Yidi Road, Ilorin, Kwara State",8.5373356,4.5443923
"Government Technical College, Epe",6.5987664,3.9844744
"Plot 136, Beside Mabushi Ultra Modern Market Jahi District Abuja",9.0932033,7.4429197
"Building Beside Abdulsalam, Ajelanwa street, Ita Alamu, Along Ajase Ipo Road, Ilorin.",8.2458715,4.8118909
"8, Old Okene Kabba Road Opp Peelink Electroworld, Beside Union Bank, Lokoja",7.8023204,6.733343
"Lokoja - Okene Express way , Lokoja, Kogi State",7.8023204,6.733343
"P7F5+24G, Ifaki Road, Iworoko 362103, Opposite Broadcastiong Service of Ekiti State Headquaters, Ekiti State",7.7800458,5.24233
"Ado-Ekiti/Km5 Ilawe Road, Near Fresh Water International School, Ado Ekiti",7.6185974,5.2004966
"Sedakay filling station, Opposite RRS Basiri Road, Ado Ekiti",7.6454394,5.2072349
"Block B, Plot 22, Egbewa GRA Extension, NTA Road, Ado - Ekiti, Ekiti State",7.6219298,5.199751
"Bovas Ado 3 retail outlet, Poly road, Ado, Ekiti State.",7.6124263,5.2371087
"Afe Babalola University Road, Ado Ekiti, Ekiti",7.6708843,5.3070996
"Km 1, Agbado Riad Ode-Ekiti, Ekiti",7.7189862,5.3109505
"Afdin Filling Station, Nnamdi Azikiwe Expressway, Katampe",9.0983573,7.4715667
"4/6 Kudirat Abiola Way, Alausa, Ikeja, Lagos",6.5891109,3.3778899
"Deidei â€“ Zuba Expressway, Abuja Municipal Area Council, Abuja - FCT",9.0969162,7.222816
"Plot 36, Itam Industrial Layout, Uyo, AKTC Terminal, Akwa Ibom State",5.045918,7.9090631
"KM 4, Uyo - Abak Road, Uyo, Akwa Ibom State",5.0199802,7.8881601
"KM 12, Airport Road, Ifa Ikot Akpan Etoi Uyo, Akwa Ibom State",4.9976239,7.9051567
"Airport Road, Benin, Edo State",6.2890664,5.585405
"Cross River State Fabrication Academy, Calabar",4.9757165,8.3417006
"Government Technical College, Ikorodu",6.6176954,3.5177203
"Government technical College, Ado-Soba",,
"Opp Plantation City, Opete Road by Otokutu Junction DSC Expressway, Ughelli-South",26.1275862,-80.2331036
"NO 480 Upper Sakpoba Road, Off Sapele, By Adesuwa Junction Benin City, Edo State",6.3732965,5.6341116
"NO. 3 Agric Road, Efugrin GRA, Warri, Delta State.",5.5105798,5.7326149
"Along Ikotun-Ijegun Road, Alimosho LGA, Ikotun Lagos",6.5334473,3.2598446
"Ilorin Office, Asa Dam Road, Ilorin, Kwara State",8.4509728,4.5495995
"Plot 1110, Zone A00, Central Business Area, Beside NNRA, Adjacent Environment House, Abuja, FCT.",9.0585927,7.4894131
"Km43 Lekki - Epe Express , Olokonla Ajah. Lagos",6.4645874,3.5725244
"Igando Oloja, Ibeju Lekki, Lagos",6.4740538,3.8056763
"Plot 501, Idu Industrial Layout, Idu Yard, Abuja",9.0609922,7.3382558
"Filling Station Opposite ATTEC shopping mall by Custom Barrack Junction, Gudaba, kuje, FCT Abuja",8.8821438,7.2275336
"Plot 964 Lugbe Extention, Airport Road, Lugbe Abuja",8.9752697,7.3522126
"Saddi Kemil Petrol Station, Opposite ShopRite Lugbe, Abuja",8.9870353,7.3927514
"Ibwas Oil and Gas, Along Kubwa Express Road ,Abuja.",9.1394997,7.3030456
"MRS Filling Station, Bodija Market, Bodija, Ibadan North West, Ibadan, Oyo State, Nigeria",7.3996904,3.8896818
57 Ziks Avenue Uwani Enugu State,6.4273094,7.4929647
"Amatua Global Filling Station, NO.31 Idoro Road Uyo, Akwa Ibom State",5.0383143,7.8856958
"KM 13, Atta Hampet Junction Ibeku Umuahia Abia State",5.5249526,7.4922407
"NO. 38 Ogoja Road Abakaliki, Ebonyi State",6.3180277,8.1148859
"Sango Eleyele Express road, Arometa bus-stop",7.4202256,3.8748216
"Luftreiber Automobile, Plot 125, Ahmadu Bello Way, Opp Rano Air, Jahi, Abuja",9.086444,7.443289
"135 Refinery Road, KM3, Opposite Navy Air Base Station, Effurun, Uvwie, Delta State",5.5692668,5.7449932
"18, Old Site Mechanic Village, Asaba, Delta State",6.2059295,6.6958939
"NO 1, Gulf Club Cross Road, Al-Mansur Motors Marafa Kaduna, Kaduna State.",10.5211229,7.4464632
"Arish Mall Zuba Opposite Enyo Filling Station Along Kaduna Expressway, Abuja",9.1149032,7.4735531
"NO 17 Nnamdi Azikwe Express Bye-pass, Kurmi Mashi, Kaduna",10.5764761,7.4202588
